time/iterations,train/learning_rate,train/reward,train/std,train/n_updates,train/policy_loss,time/fps,time/total_timesteps,train/value_loss,train/explained_variance,time/time_elapsed,train/entropy_loss
100,0.0007,-0.25878832,1.0003271102905273,99,-204.50799560546875,99,500,23.545124053955078,-0.0049130916595458984,5,-43.99421691894531
200,0.0007,0.30000913,0.999212920665741,199,-123.4657211303711,100,1000,8.112500190734863,0.0,9,-43.95827102661133
300,0.0007,7.456428,1.001804232597351,299,-56.30133819580078,100,1500,6.039554595947266,1.1920928955078125e-07,14,-44.04365539550781
400,0.0007,-1.5346798,1.0009691715240479,399,-45.277198791503906,101,2000,2.1619369983673096,0.0,19,-44.01351547241211
500,0.0007,-11.282376,1.002482533454895,499,373.64898681640625,96,2500,100.75576782226562,0.0,25,-44.05825424194336
600,0.0007,-0.1878924,1.0009914636611938,599,153.8358612060547,95,3000,14.952775955200195,-0.009955167770385742,31,-44.0177001953125
700,0.0007,-3.5904553,1.0025359392166138,699,-103.3403549194336,96,3500,6.5813117027282715,0.0,36,-44.05682373046875
800,0.0007,-2.7127612,1.002327561378479,799,-76.31157684326172,96,4000,8.411121368408203,0.0007647871971130371,41,-44.053070068359375
900,0.0007,-1.2900171,1.004915475845337,899,110.69134521484375,97,4500,6.536028861999512,-0.00885927677154541,46,-44.12950897216797
1000,0.0007,-1.0835952,1.004440188407898,999,109.64173889160156,97,5000,8.420445442199707,-1.1920928955078125e-07,51,-44.13152313232422
1100,0.0007,2.1171377,1.0045278072357178,1099,-174.94046020507812,97,5500,18.840282440185547,0.0,56,-44.125694274902344
1200,0.0007,0.4377944,1.0055681467056274,1199,-140.52032470703125,97,6000,11.528166770935059,0.07996189594268799,61,-44.15324783325195
1300,0.0007,-3.1696656,1.0070453882217407,1299,87.82272338867188,97,6500,11.083755493164062,0.0,66,-44.20185470581055
1400,0.0007,0.5249722,1.0057281255722046,1399,168.3179473876953,97,7000,20.828269958496094,0.0,71,-44.15496826171875
1500,0.0007,1.455888,1.004957675933838,1499,-500.55224609375,98,7500,174.50567626953125,0.00245821475982666,76,-44.139739990234375
1600,0.0007,1.1723479,1.0067400932312012,1599,554.6859741210938,98,8000,189.57493591308594,0.0,81,-44.190834045410156
1700,0.0007,2.5143466,1.006990909576416,1699,-29.623638153076172,98,8500,16.91130828857422,0.0,86,-44.19258499145508
1800,0.0007,3.0058327,1.0075337886810303,1799,3.452812910079956,98,9000,1.4666141271591187,0.0,90,-44.20436096191406
1900,0.0007,2.7635756,1.0082509517669678,1899,-38.9744758605957,99,9500,8.045451164245605,0.0,95,-44.228492736816406
2000,0.0007,2.1137927,1.0073459148406982,1999,-170.75662231445312,99,10000,22.198604583740234,-0.0035158395767211914,100,-44.204246520996094
2100,0.0007,-1.3528585,1.0071957111358643,2099,50.65867614746094,99,10500,12.23283576965332,1.1920928955078125e-07,105,-44.20347213745117
2200,0.0007,-4.3235292,1.0085740089416504,2199,-175.7155303955078,99,11000,75.42278289794922,0.0,110,-44.25094223022461
2300,0.0007,14.291088,1.0085361003875732,2299,-3682.62060546875,99,11500,8363.4873046875,0.0,115,-44.23223114013672
2400,0.0007,1.7317228,1.0111277103424072,2399,-52.60327911376953,99,12000,6.026342868804932,0.0,120,-44.32212448120117
2500,0.0007,0.4035574,1.0120984315872192,2499,-50.863853454589844,99,12500,3.1954097747802734,-1.1920928955078125e-07,125,-44.34618377685547
2600,0.0007,0.22432536,1.0108201503753662,2599,59.47185516357422,99,13000,4.660391330718994,0.0,130,-44.30487823486328
2700,0.0007,-0.8173573,1.0101252794265747,2699,26.454248428344727,99,13500,1.3506382703781128,0.0,135,-44.28518295288086
2800,0.0007,1.4528607,1.008692979812622,2799,252.76156616210938,100,14000,40.83642578125,0.0,139,-44.245235443115234
2900,0.0007,2.4247983,1.0102393627166748,2899,-133.9894561767578,100,14500,9.237220764160156,0.0,144,-44.293312072753906
